Dis Loss: 0.0253108087927, Cls Loss: 7.70617485046, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0257472600788, Cls Loss: 2.13100028038, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0211079176515, Cls Loss: 0.869371533394, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0197001192719, Cls Loss: 0.90205258131, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0156597942114, Cls Loss: 0.794815421104, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0165562909096, Cls Loss: 0.698212444782, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0161991883069, Cls Loss: 0.591216087341, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0116136167198, Cls Loss: 0.447472929955, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0123001784086, Cls Loss: 0.585250616074, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0130175296217, Cls Loss: 0.244773492217, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0131531087682, Cls Loss: 0.251306712627, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0155279133469, Cls Loss: 0.4324208498, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00917468499392, Cls Loss: 0.191932618618, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0103086763993, Cls Loss: 0.259280085564, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0101417507976, Cls Loss: 0.349472016096, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0107553582639, Cls Loss: 0.242658004165, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00794821791351, Cls Loss: 0.169440254569, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00926570873708, Cls Loss: 0.170461535454, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00805878080428, Cls Loss: 0.371224373579, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00677244085819, Cls Loss: 0.183727711439, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00799888651818, Cls Loss: 0.167165458202, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00736241042614, Cls Loss: 0.178331822157, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00778476614505, Cls Loss: 0.0710266232491, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0095592122525, Cls Loss: 0.206102699041, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00676157185808, Cls Loss: 0.160276055336, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00798108335584, Cls Loss: 0.234084278345, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00671329069883, Cls Loss: 0.249807089567, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00961916334927, Cls Loss: 0.10863583535, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00781802367419, Cls Loss: 0.116392239928, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00667194742709, Cls Loss: 0.123922757804, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00642341328785, Cls Loss: 0.179728776217, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00476458016783, Cls Loss: 0.134883105755, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00620850687847, Cls Loss: 0.146140903234, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00488848984241, Cls Loss: 0.105417221785, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00591717753559, Cls Loss: 0.0877575054765, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0071969195269, Cls Loss: 0.0746075063944, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00616848794743, Cls Loss: 0.193884968758, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00574999628589, Cls Loss: 0.165285438299, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00534277455881, Cls Loss: 0.122619472444, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00775020429865, Cls Loss: 0.211391568184, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00501205166802, Cls Loss: 0.0465583950281, Lr C: 0.0002, Lr G: 0.0002 
